Provinsi,Fakor Perceraian - Zina_x,Fakor Perceraian - Mabuk_x,Fakor Perceraian - Madat_x,Fakor Perceraian - Judi_x,Fakor Perceraian - Meninggalkan Salah satu Pihak_x,Fakor Perceraian - Dihukum Penjara_x,Fakor Perceraian - Poligami_x,Fakor Perceraian - Kekerasan Dalam Rumah Tangga_x,Fakor Perceraian - Cacat Badan_x,Fakor Perceraian - Perselisihan dan Pertengkaran Terus Menerus_x,Fakor Perceraian - Kawin Paksa_x,Fakor Perceraian - Murtad_x,Fakor Perceraian - Ekonomi_x,Fakor Perceraian - Lain-lain_x,Fakor Perceraian - Jumlah_x,Fakor Perceraian - Zina_y,Fakor Perceraian - Mabuk_y,Fakor Perceraian - Madat_y,Fakor Perceraian - Judi_y,Fakor Perceraian - Meninggalkan Salah satu Pihak_y,Fakor Perceraian - Dihukum Penjara_y,Fakor Perceraian - Poligami_y,Fakor Perceraian - Kekerasan Dalam Rumah Tangga_y,Fakor Perceraian - Cacat Badan_y,Fakor Perceraian - Perselisihan dan Pertengkaran Terus Menerus_y,Fakor Perceraian - Kawin Paksa_y,Fakor Perceraian - Murtad_y,Fakor Perceraian - Ekonomi_y,Fakor Perceraian - Lain-lain_y,Fakor Perceraian - Jumlah_y,Fakor Perceraian - Zina_x,Fakor Perceraian - Mabuk_x,Fakor Perceraian - Madat_x,Fakor Perceraian - Judi_x,Fakor Perceraian - Meninggalkan Salah satu Pihak_x,Fakor Perceraian - Dihukum Penjara_x,Fakor Perceraian - Poligami_x,Fakor Perceraian - Kekerasan Dalam Rumah Tangga_x,Fakor Perceraian - Cacat Badan_x,Fakor Perceraian - Perselisihan dan Pertengkaran Terus Menerus_x,Fakor Perceraian - Kawin Paksa_x,Fakor Perceraian - Murtad_x,Fakor Perceraian - Ekonomi_x,Fakor Perceraian - Lain-lain_x,Fakor Perceraian - Jumlah_x,Fakor Perceraian - Zina_y,Fakor Perceraian - Mabuk_y,Fakor Perceraian - Madat_y,Fakor Perceraian - Judi_y,Fakor Perceraian - Meninggalkan Salah satu Pihak_y,Fakor Perceraian - Dihukum Penjara_y,Fakor Perceraian - Poligami_y,Fakor Perceraian - Kekerasan Dalam Rumah Tangga_y,Fakor Perceraian - Cacat Badan_y,Fakor Perceraian - Perselisihan dan Pertengkaran Terus Menerus_y,Fakor Perceraian - Kawin Paksa_y,Fakor Perceraian - Murtad_y,Fakor Perceraian - Ekonomi_y,Fakor Perceraian - Lain-lain_y,Fakor Perceraian - Jumlah_y,Fakor Perceraian - Zina,Fakor Perceraian - Mabuk,Fakor Perceraian - Madat,Fakor Perceraian - Judi,Fakor Perceraian - Meninggalkan Salah satu Pihak,Fakor Perceraian - Dihukum Penjara,Fakor Perceraian - Poligami,Fakor Perceraian - Kekerasan Dalam Rumah Tangga,Fakor Perceraian - Cacat Badan,Fakor Perceraian - Perselisihan dan Pertengkaran Terus Menerus,Fakor Perceraian - Kawin Paksa,Fakor Perceraian - Murtad,Fakor Perceraian - Ekonomi,Fakor Perceraian - Lain-lain,Fakor Perceraian - Jumlah,Total Perceraian
Kalimantan Tengah,4,66.0,12,14.0,548.0,16,16.0,59,7,1752.0,5,52.0,210.0,3,2764.0,3,74,5,15,633,29,27,60,2,2365,5,43,239,1,3501,2,20,7,2.0,296.0,10,8,32.0,3,1094.0,4,12.0,105.0,–,1595,3,29,–,7,533,38,11,35,7,2620,3,19,178,1,3484,2,24.0,3,18.0,452.0,44,8.0,31.0,9,2799.0,–,14.0,153.0,–,3557.0,18256.0
Kalimantan Selatan,17,228.0,74,30.0,880.0,69,71.0,80,8,4890.0,32,9.0,980.0,7,7375.0,1,151,123,26,924,99,74,102,18,5275,33,19,976,–,7821,4,43,8,16.0,274.0,25,36,47.0,4,2641.0,15,8.0,289.0,–,3410,1,84,24,18,608,75,72,74,14,6071,11,22,508,–,7582,3,85.0,20,10.0,494.0,116,47.0,61.0,2,6444.0,5,65.0,354.0,–,7706.0,41870.0
Kalimantan Timur,11,49.0,59,39.0,1615.0,87,72.0,307,4,4028.0,11,31.0,1298.0,16,7627.0,22,30,68,38,1399,103,86,233,7,4296,10,40,1345,–,7677,15,31,53,37.0,1095.0,123,73,180.0,12,4482.0,12,49.0,850.0,–,7012,8,43,65,42,1229,131,64,175,5,5287,14,31,907,–,8001,16,35.0,48,43.0,1168.0,142,40.0,154.0,10,5542.0,7,43.0,1101.0,–,8349.0,47276.0
Kalimantan Utara,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,–,5,7,–,239,21,5,7,–,1036,1,10,29,4,1364,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,1620.0
Sulawesi Utara,9,17.0,2,1.0,180.0,3,3.0,96,–,1028.0,–,45.0,49.0,13,1446.0,4,95,1,7,257,11,2,46,1,1255,12,65,33,–,1789,9,49,–,4.0,196.0,3,1,32.0,1,912.0,–,51.0,40.0,–,1298,13,73,–,2,267,5,5,34,1,1367,2,51,64,–,1884,–,46.0,–,7.0,256.0,–,3.0,37.0,–,1453.0,3,59.0,52.0,–,1916.0,9990.0
Sulawesi Tengah,5,155.0,18,28.0,510.0,10,25.0,128,3,1706.0,10,18.0,220.0,125,2961.0,2,68,28,25,616,11,22,236,–,2432,3,30,115,59,3647,–,35,1,5.0,143.0,3,3,36.0,4,1342.0,–,2.0,36.0,–,1610,–,21,3,8,398,11,8,54,1,3358,5,27,65,–,3959,–,60.0,4,10.0,471.0,9,13.0,65.0,3,3189.0,2,33.0,67.0,–,3926.0,19550.0
Sulawesi Selatan,15,517.0,33,272.0,3062.0,95,114.0,879,81,638.0,65,26.0,1163.0,–,13960.0,14,485,14,305,2962,41,92,919,26,8744,47,30,1318,7,15004,15,148,16,45.0,2566.0,30,42,350.0,18,8863.0,38,51.0,515.0,–,12697,7,216,18,65,3091,28,48,325,24,11236,23,39,455,–,15575,23,139.0,21,56.0,2632.0,22,68.0,347.0,21,11148.0,36,51.0,446.0,–,15010.0,80954.0
Sulawesi Tenggara,2,133.0,5,35.0,456.0,5,11.0,222,5,1441.0,1,2.0,283.0,–,2601.0,1,118,31,21,711,14,27,286,2,2104,4,9,307,–,3635,3,77,–,8.0,516.0,3,19,129.0,10,1903.0,1,6.0,93.0,–,2768,2,69,1,8,589,11,7,158,6,2885,2,14,70,–,3822,1,62.0,1,5.0,539.0,11,4.0,146.0,3,2858.0,–,29.0,65.0,–,3724.0,19690.0
Gorontalo,8,90.0,1,6.0,373.0,6,8.0,48,–,1310.0,1,2.0,61.0,–,1914.0,4,169,20,12,489,2,9,79,–,1379,4,11,94,–,2272,1,95,2,2.0,325.0,1,9,24.0,–,958.0,2,5.0,28.0,–,1452,–,79,2,1,447,1,7,36,–,1797,2,12,34,–,2418,–,134.0,2,2.0,454.0,2,8.0,47.0,–,1659.0,1,15.0,37.0,–,2361.0,12674.0
Sulawesi Barat,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,2,9,3,2,370,5,7,49,1,786,1,7,34,–,1276,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,1702.0
Maluku,4,14.0,–,11.0,72.0,–,7.0,22,1,327.0,–,4.0,6.0,–,468.0,4,14,1,8,110,1,6,42,–,441,1,4,9,1,642,–,–,–,1.0,41.0,–,–,9.0,–,169.0,–,2.0,3.0,–,225,–,–,–,2,164,1,2,40,–,542,–,–,8,–,759,–,4.0,–,1.0,143.0,2,1.0,25.0,–,603.0,1,7.0,7.0,–,794.0,3517.0
Maluku Utara,3,25.0,2,8.0,322.0,1,5.0,53,–,614.0,3,1.0,15.0,–,1052.0,1,39,2,–,408,6,7,73,1,594,3,1,31,–,1166,1,14,1,1.0,170.0,–,2,21.0,1,258.0,1,1.0,5.0,–,476,2,21,2,1,328,3,–,42,–,834,2,3,35,–,1273,2,18.0,3,1.0,286.0,2,3.0,63.0,–,873.0,2,3.0,18.0,–,1274.0,6685.0
Papua Barat,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,–,19,4,3,81,–,–,16,–,317,2,2,84,–,528,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,627.0
Papua,17,18.0,1,3.0,320.0,2,3.0,19,2,859.0,2,23.0,60.0,–,1329.0,23,9,3,10,313,5,2,28,2,690,2,20,56,–,1163,10,21,–,6.0,303.0,4,1,37.0,1,1006.0,–,16.0,119.0,–,1524,3,21,2,9,313,5,4,27,4,1285,3,15,147,–,1838,8,29.0,–,10.0,243.0,6,3.0,46.0,1,1277.0,3,21.0,151.0,–,1798.0,9204.0
Indonesia,1 470,3468.0,1171,2163.0,71623.0,1064,1211.0,8764,766,183085.0,941,869.0,110909.0,5106,392610.0,942,2 773,1029,1947,60505,3768,1330,7814,380,231872,870,1185,120732,2866,438013,498,1218,271,648.0,34671.0,803,759,3271.0,243,176683.0,310,1108.0,71194.0,–,291677,449,1779,349,993,42387,1392,893,4779,360,279205,365,1447,113343,2,447743,690,1781.0,383,1191.0,39359.0,1447,874.0,4972.0,309,284169.0,377,1635.0,110939.0,–,448126.0,2454076.0
